"Monday","09:00","12:00","45 / 2039 (L/R B)","33","nhan1n12"
"Tuesday","09:00","11:00","44 / 1041 (L/T A)","18-26","nhan1n12"
"Tuesday","09:00","11:00","44 / 1041 (L/T A)","31-33","nhan1n12"
"Wednesday","09:00","10:00","02 / 1039 (L/T K)","18-26","nhan1n12"
"Wednesday","09:00","10:00","02 / 1039 (L/T K)","31-33","nhan1n12"
"Wednesday","12:00","13:00","   ","1-11","nhan1n12"
"Wednesday","12:00","13:00","   ","15","nhan1n12"
"Wednesday","12:00","13:00","   ","18-26","nhan1n12"
"Wednesday","12:00","13:00","   ","31-33","nhan1n12"
"Thursday","12:00","13:00","35 / 1005","18-26","nhan1n12"
"Thursday","12:00","13:00","35 / 1005","31-33","nhan1n12"
"Thursday","13:00","14:00","06 / 1083 (L/R C)","18-26","nhan1n12"
"Thursday","13:00","14:00","06 / 1083 (L/R C)","31-33","nhan1n12"
"Friday","09:00","10:00","07 / 3027 (L/R F1)","18-26","nhan1n12"
"Friday","09:00","10:00","07 / 3027 (L/R F1)","31-33","nhan1n12"
"Friday","12:00","13:00","07 / 3031 (L/R F2)","18-26","nhan1n12"
"Friday","12:00","13:00","07 / 3031 (L/R F2)","31-33","nhan1n12"
"Friday","16:00","17:00","45 / 0045 (L/T 1)","18-26","nhan1n12"
"Friday","16:00","17:00","45 / 0045 (L/T 1)","31-33","nhan1n12"
